acc_x_mean,acc_y_mean,acc_z_mean,gyro_x_mean,gyro_y_mean,gyro_z_mean,acc_x_std,acc_y_std,acc_z_std,gyro_x_std,gyro_y_std,gyro_z_std,acc_x_aad,acc_y_aad,acc_z_aad,gyro_x_aad,gyro_y_aad,gyro_z_aad,acc_x_min,acc_y_min,acc_z_min,gyro_x_min,gyro_y_min,gyro_z_min,acc_x_max,acc_y_max,acc_z_max,gyro_x_max,gyro_y_max,gyro_z_max,acc_x_maxmin_diff,acc_y_maxmin_diff,acc_z_maxmin_diff,gyro_x_maxmin_diff,gyro_y_maxmin_diff,gyro_z_maxmin_diff,acc_x_median,acc_y_median,acc_z_median,gyro_x_median,gyro_y_median,gyro_z_median,acc_x_mad,acc_y_mad,acc_z_mad,gyro_x_mad,gyro_y_mad,gyro_z_mad,acc_x_IQR,acc_y_IQR,acc_z_IQR,gyro_x_IQR,gyro_y_IQR,gyro_z_IQR,acc_x_neg_count,acc_y_neg_count,acc_z_neg_count,gyro_x_neg_count,gyro_y_neg_count,gyro_z_neg_count,acc_x_pos_count,acc_y_pos_count,acc_z_pos_count,gyro_x_pos_count,gyro_y_pos_count,gyro_z_pos_count,acc_x_above_mean,acc_y_above_mean,acc_z_above_mean,gyro_x_above_mean,gyro_y_above_mean,gyro_z_above_mean,acc_x_peak_count,acc_y_peak_count,acc_z_peak_count,gyro_x_peak_count,gyro_y_peak_count,gyro_z_peak_count,acc_x_skewness,acc_y_skewness,acc_z_skewness,gyro_x_skewness,gyro_y_skewness,gyro_z_skewness,acc_x_kurtosis,acc_y_kurtosis,acc_z_kurtosis,gyro_x_kurtosis,gyro_y_kurtosis,gyro_z_kurtosis,acc_x_energy,acc_y_energy,acc_z_energy,gyro_x_energy,gyro_y_energy,gyro_z_energy,acc_avg_result,gyro_avg_result,acc_sma,gyro_sma,labels
-3.796,-1.9595,1.83325,-0.41375,0.15425,0.676,7.934266129,8.841292595,7.897928332,3.143368168,2.043622871,2.615396528,6.542,7.027325,5.50145,2.1505625,1.4153875,1.8352,-19.53,-30.37,-22.77,-8.76,-6.31,-4.72,14.84,8.44,14.86,4.01,3.3,7.71,34.37,38.81,37.63,12.77,9.61,12.43,-4.55,1.185,3.715,0.135,0.075,0.29,5.1,3.855,2.09,0.955,0.66,0.8,10.17,10.13,4.475,2.0375,2.0325,2.0025,30,16,9,18,19,17,10,24,31,22,21,23,20,27,28,27,17,16,10,12,11,5,9,6,0.374969988,-1.342572875,-1.372246122,-1.389185906,-0.92599781,0.578497447,-0.475683704,1.369876774,1.837861341,1.554935527,1.645138874,1.134050695,30.944878,32.803238,26.295231,4.020781,1.680075,2.91891,13.56915557,3.529700551,8.1439,2.1164,1
0.557,-2.59,1.471,-0.36425,-0.08475,0.07225,7.453713907,11.22263115,9.269070018,2.763187369,1.67096976,1.724667341,5.9505,8.4385,7.69685,1.8556625,0.9424625,1.1179,-13.75,-44.97,-20.56,-8.76,-7.86,-5.4,24.6,8.19,19.49,2.15,2.02,2.77,38.35,53.16,40.05,10.91,9.88,8.17,1.145,-1.45,5.035,0.255,-0.02,0.43,4.29,7.845,4.96,0.88,0.37,0.4,8.79,14.7775,10.7375,1.7025,0.9225,0.875,20,22,17,12,23,7,20,18,23,28,16,33,20,22,23,29,23,32,12,9,10,7,11,7,0.699577632,-1.670601113,-0.800063699,-2.101578773,-2.520638751,-1.847111109,1.159587354,3.662457995,0.044762591,3.682347548,9.474930673,3.158383789,22.34724,53.06222,35.2318,3.107153,1.119729,1.191879,14.27841649,2.449923475,8.9366,1.5175,1
0.27525,-0.51,2.18475,-0.30125,-0.03475,-0.05525,5.237278868,9.684132899,10.66927223,2.624833507,1.324537632,1.514744182,4.4905125,7.4285,9.03625,1.591875,0.66515,0.9500625,-10.16,-34.55,-26.76,-8.76,-7.08,-5.22,12.59,10.27,28.48,3.08,1.83,1.93,22.75,44.82,55.24,11.84,8.91,7.15,-1.035,-0.98,4,0.03,0.05,0.13,3.965,7.01,7.085,0.525,0.265,0.525,6.5625,13.4875,13.0025,1.5625,0.4425,1.0025,21,21,19,18,14,17,19,19,21,22,24,23,19,19,20,30,28,25,12,10,9,8,13,9,0.280460822,-1.566324804,-0.271134744,-2.012598085,-3.613962345,-1.929877207,-0.368716825,3.282566988,0.173278971,4.032075668,17.32894197,3.533636993,11.001941,37.617012,47.442601,2.792201,0.702243,0.919001,13.36789116,2.001013297,8.416,1.2333,1
0.1975,-2.5085,2.474,-0.6185,0.0725,-0.27825,5.861555148,8.036457102,8.654535747,2.704652981,1.177447982,1.94466178,4.645375,7.075075,7.4405,1.93055,0.685875,1.1552875,-12.48,-18.84,-21.32,-8.76,-5.19,-6.52,16.36,10.39,15.32,2.49,2.93,3.66,28.84,29.23,36.64,11.25,8.12,10.18,-1.415,-3.015,6.895,0.045,0.09,0.01,3.17,7.06,2.915,1.335,0.485,0.375,7.775,16.43,12.3875,2.46,0.8775,0.72,24,23,15,15,12,15,16,17,25,22,25,23,15,19,25,26,21,31,11,9,12,9,10,10,0.806885224,-0.105932161,-0.983877114,-1.73197757,-2.061936059,-1.90373765,0.820131066,-1.102824749,0.143381569,2.407319964,8.511050284,3.742872717,13.758734,28.350886,32.408666,3.079076,0.556656,1.543653,12.78701827,2.319429451,7.9878,1.3889,1
-2.0195,-2.13725,3.59475,0.033,-0.09175,0.20125,8.076688353,11.16143875,8.876024444,3.106354133,1.480884681,2.597008074,5.927675,8.2225625,6.76785,2.1277,0.665775,1.666125,-21.98,-49.01,-23.68,-8.76,-8.63,-7.53,19.38,8.59,14.12,3.18,1.1,3.82,41.36,57.6,37.8,11.94,9.73,11.35,-3.185,2.755,6.92,0.98,0.08,0.32,4.38,4.78,2.59,0.715,0.325,0.71,8.5975,12.9925,8.135,1.31,0.7075,1.415,29,17,10,8,19,13,11,23,30,32,21,25,13,25,28,32,26,22,10,9,11,10,13,9,0.773383992,-2.151978716,-1.611993342,-1.84188678,-4.739754167,-1.4587069,1.015899881,5.892982184,1.781763851,2.42620183,24.70898193,2.145718253,27.72451,51.658221,36.682415,3.86021,0.880575,2.713981,14.65920789,2.973253197,9.2184,1.8016,1
0.55975,-1.645,2.963,-0.4645,0.123,-0.38825,5.774172446,11.68501241,9.176887599,2.6331625,0.816979804,2.223464512,4.71625,8.6865,8.03455,1.779475,0.547,1.4564625,-7.63,-45.06,-16.55,-8.76,-2.38,-8.67,13.67,11.23,19.78,2.79,2.48,2.64,21.3,56.29,36.33,11.55,4.86,11.31,-0.065,1.27,8.02,0.09,0.115,0.135,3.62,7.445,4.815,0.545,0.38,0.66,6.095,15.03,11.45,0.955,0.8175,1.265,20,19,17,14,13,16,20,21,23,26,26,24,20,22,23,31,20,29,9,10,11,8,13,8,0.789332542,-1.74569989,-0.46651537,-1.802811896,-0.709935356,-2.02259842,-0.209091351,3.857343244,-0.577599156,2.991842182,3.135671581,4.3649123,13.461755,55.698216,37.197854,2.859722,0.273034,2.037813,14.00497774,2.291636815,8.7139,1.3685,1
0.8605,-3.16225,2.7765,-0.6005,-0.15525,-0.346,5.938249721,8.249889238,8.21360991,3.135227225,0.862615173,2.097879644,4.1926,7.2751375,6.370875,2.276275,0.5580375,1.3954,-7.98,-18.63,-27.29,-8.76,-3.47,-7.39,26.72,8.91,12.24,4.52,2.24,2.52,34.7,27.54,39.53,13.28,5.71,9.91,-1.26,-4.65,6.23,0.215,-0.035,0.245,2.525,5.795,3.125,0.93,0.38,0.38,6.1375,15.1025,10.3125,1.5375,0.56,0.7175,23,26,15,13,23,11,17,14,25,27,17,27,16,19,25,31,23,33,11,11,8,8,12,9,2.279963538,0.115467914,-1.78593573,-1.472532238,-0.779135868,-2.064115768,7.167520919,-1.261936814,3.37023676,1.346970586,4.692206453,3.538911488,14.401308,31.224199,30.068936,4.0761,0.307283,1.808326,12.6484917,2.503893419,7.5527,1.4889,1
0.34425,-2.81025,3.35275,-0.32725,0.0275,-0.3495,9.578783557,11.91011576,9.060390165,2.556840812,1.035694815,2.261618834,6.6558875,7.6182375,7.7450625,1.6712375,0.5945,1.3737,-36.13,-59.35,-20.27,-8.76,-4.71,-8.75,21.39,9.54,17.65,3.23,1.34,2.55,57.52,68.89,37.92,11.99,6.05,11.3,-1.785,-3.695,8.32,0.295,0.22,0.155,3.905,5.535,2.23,0.555,0.315,0.465,7.7,14.075,11.735,0.9125,0.63,0.7,23,25,15,11,11,12,17,15,25,28,28,27,17,19,25,31,28,32,13,9,9,7,15,8,-0.69680844,-2.653497171,-1.041199121,-2.043047763,-2.885743116,-2.644945051,4.091288972,10.29708748,0.17189038,3.947766447,9.954039529,6.957104073,36.748641,59.899345,37.332641,2.657811,0.429368,2.094828,14.79142152,2.148422639,9.3201,1.3137,1
0.626,-0.85425,2.5485,-0.278,0.09825,-0.474,6.239543974,10.41625794,8.008470687,2.87849544,1.689690634,2.282440361,4.7818,8.609175,7.000225,2.0508,0.7901625,1.5549,-15.56,-37.95,-17.89,-8.76,-4.79,-7.68,16.81,9.61,12.32,3.03,7.83,2.61,32.37,47.56,30.21,11.79,12.62,10.29,-1.34,2.09,6.445,0.35,0.085,0.09,3.005,6.505,4.805,0.79,0.395,0.5,6.3275,16.515,11.51,1.5325,0.6525,0.8625,21,18,17,12,14,17,19,22,23,28,26,23,19,22,23,32,19,32,9,7,9,7,12,8,0.292940379,-1.238763529,-0.77865663,-1.525378462,1.291737959,-1.912104623,0.877125888,1.834525421,-0.394536261,1.737756878,11.05118559,2.92860416,15.729514,43.691269,28.252182,3.345208,1.145883,2.173684,13.37226846,2.606881784,8.2627,1.6055,1
1.03375,-1.66325,2.51375,-0.342,-0.05775,-0.18525,9.650187223,12.24887942,9.015484371,3.11685274,1.5688443,1.9542492,5.971625,9.1472375,7.690875,2.1032,0.77185,1.1994,-36.77,-50.09,-18.12,-8.76,-8.69,-7.67,35.83,12.31,19.67,3.81,2.46,2.12,72.6,62.4,37.79,12.57,11.15,9.79,-1.05,1.59,6.32,0.22,0.105,0.075,3.475,7.04,5.395,0.73,0.36,0.535,6.0425,16.055,11.6675,1.055,0.6775,0.8975,21,18,17,10,12,16,19,22,23,29,27,23,18,23,22,32,28,32,12,8,10,5,10,7,-0.161093785,-1.916420645,-0.664058963,-1.581779203,-4.084879774,-2.357985987,7.390856946,4.798814033,-0.250634963,1.902485709,20.1804953,5.958085694,37.677901,61.120579,35.039159,3.932694,0.985843,1.541363,15.01775373,2.498205116,9.1437,1.5068,1
